component,explained_variance_ratio,cumulative_explained_variance,information_lost,distance_to_90pct
141,0.0015143544,0.9316146,0.06838542,0.0316146
142,0.0014710493,0.9330856,0.06691438,0.033085644
143,0.0014442322,0.93452984,0.06547016,0.034529865
144,0.0014198915,0.93594974,0.06405026,0.035949767
145,0.0014109706,0.9373607,0.062639296,0.037360728
146,0.001396967,0.93875766,0.061242342,0.03875768
147,0.0013823744,0.94014,0.05985999,0.040140033
148,0.0013516621,0.94149166,0.058508337,0.041491687
149,0.0013329978,0.94282466,0.05717534,0.042824686
150,0.0013121286,0.9441368,0.0558632,0.044136822
151,0.0013014475,0.94543827,0.054561734,0.04543829
152,0.001280538,0.9467188,0.053281188,0.046718836
153,0.0012631654,0.94798195,0.052018046,0.047981977
154,0.0012363072,0.9492183,0.050781727,0.049218297
155,0.0011973764,0.9504157,0.04958433,0.050415695
156,0.0011813057,0.951597,0.048403025,0.051597
157,0.0011629377,0.9527599,0.04724008,0.052759945
158,0.0011446242,0.95390457,0.04609543,0.053904593
159,0.0011300845,0.9550347,0.044965327,0.055034697
160,0.0010799459,0.9561146,0.04388541,0.056114614
161,0.0010580982,0.9571727,0.04282731,0.057172716
162,0.0010489583,0.9582217,0.041778326,0.058221698
163,0.0010153673,0.95923704,0.04076296,0.059237063
164,0.0009731663,0.9602102,0.039789796,0.060210228
165,0.00094565185,0.96115583,0.03884417,0.061155856
166,0.0009192488,0.96207505,0.037924945,0.06207508
167,0.0008980664,0.9629731,0.037026882,0.06297314
168,0.0008818283,0.96385497,0.03614503,0.06385499
169,0.0008515955,0.96470654,0.03529346,0.064706564
170,0.00080597564,0.9655125,0.034487486,0.06551254
171,0.0007804756,0.966293,0.033707023,0.066293
172,0.0007760747,0.96706903,0.03293097,0.06706905
173,0.00076359545,0.9678326,0.032167375,0.06783265
174,0.00074555137,0.96857816,0.03142184,0.06857818
175,0.0007242164,0.96930236,0.030697644,0.06930238
176,0.0007009895,0.97000337,0.029996634,0.07000339
177,0.000675422,0.9706788,0.029321194,0.07067883
178,0.00066852116,0.97134733,0.028652668,0.071347356
179,0.00064936135,0.97199667,0.028003335,0.07199669
180,0.0006314206,0.97262806,0.027371943,0.07262808
181,0.0006259174,0.97325397,0.026746035,0.07325399
182,0.00060434104,0.9738583,0.026141703,0.07385832
183,0.0005895665,0.97444785,0.025552154,0.07444787
184,0.00058312266,0.97503096,0.024969041,0.07503098
185,0.0005592491,0.9755902,0.024409771,0.07559025
186,0.00055452634,0.97614473,0.023855269,0.076144755
187,0.0005351898,0.9766799,0.023320079,0.076679945
188,0.0005231634,0.9772031,0.022796929,0.077203095
189,0.0005018512,0.97770494,0.022295058,0.077704966
190,0.0004913039,0.97819626,0.021803737,0.07819629
191,0.0004853892,0.9786816,0.021318376,0.07868165
192,0.00047122748,0.97915286,0.020847142,0.07915288
193,0.00046381407,0.9796167,0.020383298,0.079616725
194,0.00045435107,0.98007107,0.019928932,0.08007109
195,0.00045075975,0.9805218,0.019478202,0.08052182
196,0.00043384085,0.98095566,0.01904434,0.080955684
197,0.00042716393,0.98138285,0.018617153,0.08138287
198,0.00042280176,0.9818056,0.018194377,0.08180565
199,0.00041240014,0.982218,0.017781973,0.08221805
200,0.00040365275,0.98262167,0.01737833,0.08262169
201,0.00039480516,0.9830165,0.016983509,0.083016515
202,0.00037853312,0.98339504,0.01660496,0.083395064
203,0.00037135291,0.9837664,0.016233623,0.0837664
204,0.00035700697,0.9841234,0.015876591,0.08412343
205,0.00034784782,0.98447126,0.0155287385,0.084471285
206,0.0003347302,0.984806,0.015193999,0.084806025
207,0.00032904258,0.985135,0.014864981,0.08513504
208,0.0003228828,0.9854579,0.014542103,0.08545792
209,0.00031391278,0.98577183,0.014228165,0.08577186
210,0.00031198154,0.9860838,0.013916194,0.08608383
211,0.00030631808,0.9863901,0.013609886,0.08639014
212,0.00029948333,0.98668957,0.013310432,0.08668959
213,0.0002969956,0.9869866,0.0130134225,0.0869866
214,0.000292325,0.9872789,0.012721121,0.0872789
215,0.00028713347,0.987566,0.012434006,0.08756602
216,0.00028175526,0.98784775,0.012152255,0.08784777
217,0.0002794762,0.98812723,0.011872768,0.088127255
218,0.000275199,0.9884024,0.011597574,0.08840245
219,0.00027312283,0.98867553,0.011324465,0.08867556
220,0.0002676329,0.98894316,0.01105684,0.08894318
221,0.00025282,0.989196,0.0108039975,0.08919603
222,0.00024747074,0.9894435,0.010556519,0.089443505
223,0.00024506383,0.9896885,0.010311484,0.08968854
224,0.00023856007,0.98992705,0.010072947,0.08992708
225,0.00023710007,0.99016416,0.009835839,0.090164185
226,0.00023084976,0.990395,0.0096049905,0.09039503
227,0.00022442569,0.9906194,0.009380579,0.090619445
228,0.00021540232,0.99083483,0.009165168,0.090834856
229,0.00020721435,0.991042,0.008957982,0.09104204
230,0.0002048442,0.9912469,0.008753121,0.0912469
231,0.000199021,0.9914459,0.008554101,0.09144592
232,0.00019745671,0.99164337,0.008356631,0.09164339
233,0.00019724556,0.9918406,0.008159399,0.091840625
234,0.00019206226,0.99203265,0.007967353,0.09203267
235,0.00018962043,0.99222225,0.0077777505,0.09222227
236,0.00018632214,0.9924086,0.0075914264,0.0924086
237,0.00018396271,0.9925925,0.0074074864,0.09259254
238,0.00017608004,0.9927686,0.0072314143,0.09276861
239,0.00017441523,0.992943,0.007057011,0.09294301
240,0.00016998744,0.993113,0.0068870187,0.093113005
241,0.00016629444,0.9932793,0.0067207217,0.0932793
242,0.00015968707,0.99343896,0.006561041,0.09343898
243,0.00015744093,0.9935964,0.006403625,0.0935964
244,0.0001533383,0.99374974,0.0062502623,0.09374976
245,0.00015135956,0.9939011,0.006098926,0.0939011
246,0.00014694472,0.994048,0.0059520006,0.09404802
247,0.00014209618,0.9941901,0.005809903,0.09419012
248,0.00013903626,0.99432915,0.0056708455,0.09432918
249,0.00013718427,0.99446636,0.0055336356,0.09446639
250,0.00013542316,0.9946018,0.005398214,0.09460181
251,0.00013481823,0.9947366,0.005263388,0.094736636
252,0.00013256175,0.9948692,0.0051308274,0.0948692
253,0.00012852838,0.9949977,0.00500232,0.094997704
254,0.00012628827,0.995124,0.0048760176,0.095124006
255,0.00012493222,0.9952489,0.0047510862,0.09524894
256,0.00012099011,0.9953699,0.004630089,0.095369935
257,0.000116397925,0.9954863,0.004513681,0.09548634
258,0.00010761407,0.9955939,0.0044060946,0.09559393
259,0.000106199266,0.9957001,0.004299879,0.095700145
260,0.000104291634,0.9958044,0.004195571,0.09580445
261,0.000103375285,0.9959078,0.0040922165,0.09590781
262,9.908183e-05,0.99600685,0.0039931536,0.09600687
263,9.42842e-05,0.99610114,0.003898859,0.096101165
264,9.271668e-05,0.9961939,0.0038061142,0.09619391
265,8.93142e-05,0.9962832,0.0037168264,0.0962832
266,8.6767854e-05,0.99636996,0.003630042,0.09636998
267,8.628559e-05,0.99645627,0.0035437346,0.09645629
268,8.265242e-05,0.99653894,0.003461063,0.09653896
269,8.191512e-05,0.99662083,0.0033791661,0.09662086
270,8.017605e-05,0.996701,0.0032989979,0.096701026
271,7.678975e-05,0.9967778,0.003222227,0.0967778
272,7.4834665e-05,0.99685264,0.0031473637,0.09685266
273,7.427781e-05,0.9969269,0.0030730963,0.09692693
274,7.418437e-05,0.9970011,0.0029988885,0.097001135
275,7.321408e-05,0.9970743,0.002925694,0.09707433
276,7.2417344e-05,0.9971467,0.0028532743,0.09714675
277,6.995945e-05,0.9972167,0.0027832985,0.097216725
278,6.8136855e-05,0.9972848,0.0027151704,0.09728485
279,6.777083e-05,0.9973526,0.0026474,0.097352624
280,6.649696e-05,0.9974191,0.0025808811,0.09741914
281,6.483186e-05,0.99748397,0.0025160313,0.09748399
282,6.419702e-05,0.99754816,0.002451837,0.09754819
283,6.274929e-05,0.9976109,0.0023890734,0.09761095
284,6.120304e-05,0.99767214,0.0023278594,0.097672164
285,5.9035083e-05,0.99773115,0.0022688508,0.09773117
286,5.852588e-05,0.9977897,0.002210319,0.097789705
287,5.821804e-05,0.9978479,0.0021520853,0.09784794
288,5.6980367e-05,0.9979049,0.0020951033,0.09790492
289,5.487819e-05,0.9979598,0.0020402074,0.09795982
290,5.3524847e-05,0.9980133,0.0019866824,0.09801334
291,5.2800176e-05,0.9980661,0.0019338727,0.09806615
292,5.1775867e-05,0.9981179,0.0018820763,0.09811795
293,5.0713832e-05,0.99816865,0.0018313527,0.09816867
294,4.8271675e-05,0.9982169,0.001783073,0.09821695
295,4.748934e-05,0.99826443,0.001735568,0.098264456
296,4.641947e-05,0.99831086,0.001689136,0.09831089
297,4.624127e-05,0.9983571,0.0016428828,0.09835714
298,4.4715573e-05,0.9984018,0.0015981793,0.098401845
299,4.4055483e-05,0.99844587,0.0015541315,0.09844589
300,4.3013468e-05,0.9984889,0.001511097,0.09848893
301,4.207955e-05,0.998531,0.0014690161,0.09853101
302,4.15481e-05,0.9985725,0.0014274716,0.09857255
303,4.089087e-05,0.9986134,0.0013865829,0.09861344
304,3.8925442e-05,0.99865234,0.001347661,0.09865236
305,3.809508e-05,0.9986904,0.0013095737,0.09869045
306,3.685774e-05,0.99872726,0.001272738,0.098727286
307,3.6602996e-05,0.99876386,0.0012361407,0.09876388
